#{"t_start": 1621788826.2877219, "env_id": null}
r,l,t
4.792099,49,8.136327
4.583648,49,8.170632
4.524132,49,8.189986
5.575008,49,8.224469
4.598673,49,8.269549
5.701667,49,8.292852
5.014609,49,8.316731
2.515752,49,8.360707
6.83526,49,8.382113
2.930549,49,8.425096
5.010408,49,8.447714
5.714028,49,8.469941
6.854382,49,8.511919
4.62442,49,8.533779
6.246713,49,8.573925
5.228474,49,8.595944
5.410775,49,8.617011
4.529488,49,8.665593
4.401522,49,8.686192
6.340825,49,8.704998
4.619761,49,8.746153
5.89139,49,8.76492
4.099112,49,8.798745
6.139455,49,8.830684
4.517325,49,8.849046
3.220018,49,8.884047
5.672487,49,8.900995
2.000304,49,8.934052
4.443054,49,8.950786
5.584729,49,8.966763
5.54602,49,9.002637
6.761893,49,9.020598
5.443805,49,9.037397
6.912514,49,9.072342
5.964752,49,9.091626
4.025552,49,9.12687
6.229037,49,9.144815
7.126972,49,9.163464
4.337971,49,9.200114
5.585413,49,9.218733
4.838303,49,9.236017
6.359031,49,9.271603
5.926269,49,9.288003
4.781798,49,9.322374
5.081994,49,9.349656
3.563797,49,9.368214
5.374538,49,9.403472
6.770089,49,9.42203
6.31443,49,9.45765
4.102483,49,9.475667
5.866653,49,9.49328
3.93391,49,9.52823
6.737659,49,9.544705
5.243557,49,9.561586
6.2002,49,9.596676
6.900514,49,9.61555
3.370841,49,9.649089
5.941978,49,9.667282
6.880606,49,9.684247
6.822436,49,9.718687
6.123185,49,9.736054
5.598787,49,9.77076
6.112034,49,9.788512
4.913948,49,9.806983
7.136001,49,9.853269
6.340499,49,9.871581
3.616975,49,9.888376
6.172395,49,9.922485
5.913118,49,9.939997
6.548019,49,9.97194
5.178553,49,9.989224
7.10097,49,10.006543
4.710061,49,10.041154
6.320466,49,10.058758
6.277181,49,10.092515
4.789027,49,10.111717
5.102746,49,10.129853
5.983324,49,10.165662
5.552759,49,10.184046
6.503946,49,10.201691
5.643198,49,10.239396
5.095711,49,10.257421
5.241463,49,10.294463
6.730237,49,10.31429
6.377369,49,10.343466
7.044323,49,10.381425
5.117467,49,10.40128
5.180711,49,10.420305
7.269265,49,10.460416
6.016288,49,10.479684
6.916081,49,10.51658
5.376443,49,10.536307
5.678378,49,10.555808
6.260825,49,10.591104
5.922028,49,10.608222
6.697575,49,10.643575
6.020595,49,10.662469
5.311289,49,10.679947
4.220178,49,10.716298
6.043211,49,10.734578
5.680475,49,10.753502
4.20133,49,10.791163
7.028745,49,10.810796
5.648518,49,10.848787
5.577537,49,10.868691
7.355411,49,10.899062
3.297094,49,10.93764
5.726728,49,10.957197
6.498222,49,10.993274
5.8767,49,11.014007
6.251086,49,11.03316
3.840929,49,11.07324
5.39109,49,11.092086
4.323868,49,11.112187
5.923725,49,11.149957
3.643451,49,11.16988
6.020723,49,11.206837
6.980773,49,11.226292
4.547428,49,11.246584
5.581028,49,11.285745
7.253977,49,11.30494
5.911439,49,11.324414
6.866854,49,11.362842
7.245826,49,11.382519
7.710312,49,11.420453
5.384499,49,11.450923
5.948066,49,11.4699
4.955605,49,11.509556
5.624376,49,11.52918
5.415377,49,11.565101
4.928836,49,11.584687
4.845206,49,11.604613
4.091876,49,11.646749
6.471976,49,11.667207
4.87763,49,11.689279
3.587892,49,11.731951
